"fechaKey";"fullDate";"nombreDia";"diaDeSemana";"numDiaEnMes";"mes";"nombreMes";"numSemanaEnMes";"numSemanaEnAnio";"trimestre";"nombreTrimestre";"diaLaboral";"anio"
"20200101";"01/01/2020";"Wednesday";"3";"1";"1";"January";"1";"1";"1";"quarter 1";"y";"2020"
"20200102";"02/01/2020";"Thursday";"4";"2";"1";"January";"1";"1";"1";"quarter 1";"y";"2020"
"20200103";"03/01/2020";"Friday";"5";"3";"1";"January";"1";"1";"1";"quarter 1";"y";"2020"
"20200104";"04/01/2020";"Saturday";"6";"4";"1";"January";"1";"1";"1";"quarter 1";"n";"2020"
"20200105";"05/01/2020";"Sunday";"7";"5";"1";"January";"1";"1";"1";"quarter 1";"n";"2020"
"20200106";"06/01/2020";"Monday";"1";"6";"1";"January";"2";"2";"1";"quarter 1";"y";"2020"
"20200107";"07/01/2020";"Tuesday";"2";"7";"1";"January";"2";"2";"1";"quarter 1";"y";"2020"
"20200108";"08/01/2020";"Wednesday";"3";"8";"1";"January";"2";"2";"1";"quarter 1";"y";"2020"
"20200109";"09/01/2020";"Thursday";"4";"9";"1";"January";"2";"2";"1";"quarter 1";"y";"2020"
"20200110";"10/01/2020";"Friday";"5";"10";"1";"January";"2";"2";"1";"quarter 1";"y";"2020"
"20200111";"11/01/2020";"Saturday";"6";"11";"1";"January";"2";"2";"1";"quarter 1";"n";"2020"
"20200112";"12/01/2020";"Sunday";"7";"12";"1";"January";"2";"2";"1";"quarter 1";"n";"2020"
"20200113";"13/01/2020";"Monday";"1";"13";"1";"January";"3";"3";"1";"quarter 1";"y";"2020"
"20200114";"14/01/2020";"Tuesday";"2";"14";"1";"January";"3";"3";"1";"quarter 1";"y";"2020"
"20200115";"15/01/2020";"Wednesday";"3";"15";"1";"January";"3";"3";"1";"quarter 1";"y";"2020"
"20200116";"16/01/2020";"Thursday";"4";"16";"1";"January";"3";"3";"1";"quarter 1";"y";"2020"
"20200117";"17/01/2020";"Friday";"5";"17";"1";"January";"3";"3";"1";"quarter 1";"y";"2020"
"20200118";"18/01/2020";"Saturday";"6";"18";"1";"January";"3";"3";"1";"quarter 1";"n";"2020"
"20200119";"19/01/2020";"Sunday";"7";"19";"1";"January";"3";"3";"1";"quarter 1";"n";"2020"
"20200120";"20/01/2020";"Monday";"1";"20";"1";"January";"4";"4";"1";"quarter 1";"y";"2020"
"20200121";"21/01/2020";"Tuesday";"2";"21";"1";"January";"4";"4";"1";"quarter 1";"y";"2020"
"20200122";"22/01/2020";"Wednesday";"3";"22";"1";"January";"4";"4";"1";"quarter 1";"y";"2020"
"20200123";"23/01/2020";"Thursday";"4";"23";"1";"January";"4";"4";"1";"quarter 1";"y";"2020"
"20200124";"24/01/2020";"Friday";"5";"24";"1";"January";"4";"4";"1";"quarter 1";"y";"2020"
"20200125";"25/01/2020";"Saturday";"6";"25";"1";"January";"4";"4";"1";"quarter 1";"n";"2020"
"20200126";"26/01/2020";"Sunday";"7";"26";"1";"January";"4";"4";"1";"quarter 1";"n";"2020"
"20200127";"27/01/2020";"Monday";"1";"27";"1";"January";"5";"5";"1";"quarter 1";"y";"2020"
"20200128";"28/01/2020";"Tuesday";"2";"28";"1";"January";"5";"5";"1";"quarter 1";"y";"2020"
"20200129";"29/01/2020";"Wednesday";"3";"29";"1";"January";"5";"5";"1";"quarter 1";"y";"2020"
"20200130";"30/01/2020";"Thursday";"4";"30";"1";"January";"5";"5";"1";"quarter 1";"y";"2020"
"20200131";"31/01/2020";"Friday";"5";"31";"1";"January";"5";"5";"1";"quarter 1";"y";"2020"
"20200201";"01/02/2020";"Saturday";"6";"1";"2";"February";"1";"5";"1";"quarter 1";"n";"2020"
"20200202";"02/02/2020";"Sunday";"7";"2";"2";"February";"1";"5";"1";"quarter 1";"n";"2020"
"20200203";"03/02/2020";"Monday";"1";"3";"2";"February";"2";"6";"1";"quarter 1";"y";"2020"
"20200204";"04/02/2020";"Tuesday";"2";"4";"2";"February";"2";"6";"1";"quarter 1";"y";"2020"
"20200205";"05/02/2020";"Wednesday";"3";"5";"2";"February";"2";"6";"1";"quarter 1";"y";"2020"
"20200206";"06/02/2020";"Thursday";"4";"6";"2";"February";"2";"6";"1";"quarter 1";"y";"2020"
"20200207";"07/02/2020";"Friday";"5";"7";"2";"February";"2";"6";"1";"quarter 1";"y";"2020"
"20200208";"08/02/2020";"Saturday";"6";"8";"2";"February";"2";"6";"1";"quarter 1";"n";"2020"
"20200209";"09/02/2020";"Sunday";"7";"9";"2";"February";"2";"6";"1";"quarter 1";"n";"2020"
"20200210";"10/02/2020";"Monday";"1";"10";"2";"February";"3";"7";"1";"quarter 1";"y";"2020"
"20200211";"11/02/2020";"Tuesday";"2";"11";"2";"February";"3";"7";"1";"quarter 1";"y";"2020"
"20200212";"12/02/2020";"Wednesday";"3";"12";"2";"February";"3";"7";"1";"quarter 1";"y";"2020"
"20200213";"13/02/2020";"Thursday";"4";"13";"2";"February";"3";"7";"1";"quarter 1";"y";"2020"
"20200214";"14/02/2020";"Friday";"5";"14";"2";"February";"3";"7";"1";"quarter 1";"y";"2020"
"20200215";"15/02/2020";"Saturday";"6";"15";"2";"February";"3";"7";"1";"quarter 1";"n";"2020"
"20200216";"16/02/2020";"Sunday";"7";"16";"2";"February";"3";"7";"1";"quarter 1";"n";"2020"
"20200217";"17/02/2020";"Monday";"1";"17";"2";"February";"4";"8";"1";"quarter 1";"y";"2020"
"20200218";"18/02/2020";"Tuesday";"2";"18";"2";"February";"4";"8";"1";"quarter 1";"y";"2020"
