"FlightDate";"DOT_ID_Marketing_Airline";"Operating_Airline";"Flight_Number_Operating_Airline";"OriginAirportID";"Origin";"OriginCityName";"OriginState";"OriginStateName";"OriginWac";"DestAirportID";"Dest";"DestCityName";"DestState";"DestStateName";"DestWac";"CRSDepTime";"DepTime";"DepDelayMinutes";"DepDel15";"WheelsOff";"WheelsOn";"CRSArrTime";"ArrTime";"ArrDelayMinutes";"ArrDel15";"Cancelled";"CancellationCode";"Diverted";"CRSElapsedTime";"ActualElapsedTime";"AirTime";"Distance";"CarrierDelay";"WeatherDelay";"NASDelay";"SecurityDelay";"LateAircraftDelay";"DivAirportLandings";"DivReachedDest";"DivActualElapsedTime";"DivArrDelay";"DivDistance";"Div1Airport";"Div1AirportID"
"17/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1926";"0";"0";"1941";"2212";"2229";"2218";"0";"0";"0";"";"0";"169";"172";"151";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"18/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1926";"0";"0";"1940";"2207";"2229";"2220";"0";"0";"0";"";"0";"169";"174";"147";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"19/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1947";"7";"0";"1958";"2217";"2229";"2223";"0";"0";"0";"";"0";"169";"156";"139";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"20/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1933";"0";"0";"2000";"2220";"2229";"2233";"4";"0";"0";"";"0";"169";"180";"140";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"21/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1952";"12";"0";"2002";"2229";"2229";"2235";"6";"0";"0";"";"0";"169";"163";"147";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"22/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1921";"0";"0";"1940";"2211";"2229";"2217";"0";"0";"0";"";"0";"169";"176";"151";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"23/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1923";"0";"0";"1936";"2153";"2229";"2201";"0";"0";"0";"";"0";"169";"158";"137";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"24/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1923";"0";"0";"1934";"2158";"2229";"2203";"0";"0";"0";"";"0";"169";"160";"144";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"25/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1931";"0";"0";"1944";"2200";"2229";"2210";"0";"0";"0";"";"0";"169";"159";"136";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"26/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1932";"0";"0";"1943";"2204";"2229";"2211";"0";"0";"0";"";"0";"169";"159";"141";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"27/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1926";"0";"0";"1934";"2151";"2229";"2155";"0";"0";"0";"";"0";"169";"149";"137";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
"28/01/2020";"20409";"B6";"942";"14027";"PBI";"West Palm Beach/Palm Beach - FL";"FL";"Florida";"33";"10529";"BDL";"Hartford - CT";"CT";"Connecticut";"11";"1940";"1940";"0";"0";"1953";"2210";"2229";"2216";"0";"0";"0";"";"0";"169";"156";"137";"1133";"";"";"";"";"";"0";"";"";"";"";"";""
